region,subRegion,param,units,year,demandClass,localData,localDataSubdivided,supplySector,supplySubSector,dataSource
Argentina,Mendoza_alta_barrancas,watWithdrawBySec,km3,2010,Ag_fruittrees,0.001,0.001,Water,W_SW_Runoff,COIRCO_2013_report
Argentina,Neuquen_alta_barrancas,watWithdrawBySec,km3,2010,Ag_pasture,0.0087,0.0087,Water,W_SW_Runoff,COIRCO_2013_report
Argentina,Neuquen_media,watWithdrawBySec,km3,2010,Ag_pasture,0.0656,0.01476,Water,W_SW_Upstream,assumed evenly divided water demand across crops
Argentina,Neuquen_media,watWithdrawBySec,km3,2010,Ag_cereals,0.0656,0.01476,Water,W_SW_Upstream,assumed evenly divided water demand across crops
Argentina,Neuquen_media,watWithdrawBySec,km3,2010,Ag_fruittrees,0.0656,0.01476,Water,W_SW_Upstream,assumed evenly divided water demand across crops
Argentina,Neuquen_media,watWithdrawBySec,km3,2010,Ag_vegetables,0.0656,0.01476,Water,W_SW_Upstream,assumed evenly divided water demand across crops
Argentina,Neuquen_media,watWithdrawBySec,km3,2010,Ag_pasture,0.0656,0.00164,Water,W_GW_Reservoir,assumed evenly divided water demand across crops
Argentina,Neuquen_media,watWithdrawBySec,km3,2010,Ag_cereals,0.0656,0.00164,Water,W_GW_Reservoir,assumed evenly divided water demand across crops
Argentina,Neuquen_media,watWithdrawBySec,km3,2010,Ag_fruittrees,0.0656,0.00164,Water,W_GW_Reservoir,assumed evenly divided water demand across crops
Argentina,Neuquen_media,watWithdrawBySec,km3,2010,Ag_vegetables,0.0656,0.00164,Water,W_GW_Reservoir,assumed evenly divided water demand across crops
Argentina,RioNegro_media,watWithdrawBySec,km3,2010,Ag_pasture,0.1785,0.0401625,Water,W_SW_Upstream,assumed evenly divided water demand across crops
Argentina,RioNegro_media,watWithdrawBySec,km3,2010,Ag_cereals,0.1785,0.0401625,Water,W_SW_Upstream,assumed evenly divided water demand across crops
Argentina,RioNegro_media,watWithdrawBySec,km3,2010,Ag_specialty,0.1785,0.0401625,Water,W_SW_Upstream,assumed evenly divided water demand across crops
Argentina,RioNegro_media,watWithdrawBySec,km3,2010,Ag_fruittrees,0.1785,0.0401625,Water,W_SW_Upstream,assumed evenly divided water demand across crops
Argentina,RioNegro_media,watWithdrawBySec,km3,2010,Ag_pasture,0.1785,0.0044625,Water,W_GW_Reservoir,assumed evenly divided water demand across crops
Argentina,RioNegro_media,watWithdrawBySec,km3,2010,Ag_cereals,0.1785,0.0044625,Water,W_GW_Reservoir,assumed evenly divided water demand across crops
Argentina,RioNegro_media,watWithdrawBySec,km3,2010,Ag_specialty,0.1785,0.0044625,Water,W_GW_Reservoir,assumed evenly divided water demand across crops
Argentina,RioNegro_media,watWithdrawBySec,km3,2010,Ag_fruittrees,0.1785,0.0044625,Water,W_GW_Reservoir,assumed evenly divided water demand across crops
Argentina,LaPampa_media,watWithdrawBySec,km3,2010,Ag_fruittrees,0.233,0.05825,Water,W_SW_Reservoir,assumed evenly divided water demand across crops
Argentina,LaPampa_media,watWithdrawBySec,km3,2010,Ag_specialty,0.233,0.05825,Water,W_SW_Reservoir,assumed evenly divided water demand across crops
Argentina,LaPampa_media,watWithdrawBySec,km3,2010,Ag_cereals,0.233,0.05825,Water,W_SW_Reservoir,assumed evenly divided water demand across crops
